text,actual_sentiment,predicted_sentiment,positive_probability
"Yowsa! If you REALLY want some ACTION, check out the babes and bombs on this non-stop thriller! Veteran star MARTIN SHEEN leads a trio of supermodels on a mission to stop nuclear terrorism... but director Dean Hamilton doesn't let this heavy plotline get in the way of massive doses of TEENSY-SWIMSUIT scenes, jiggly beach jogs, hubba-hubba hot tubs and the like! Want action? You'll get more of it here than in PEARL HARBOR. Want babes? You'll get an eyeful every two minutes. Want more? Go out and BUY THIS VIDEO! Yowsa, Yowsa, Yowsa! That's some mighty spicy meatballs!!!",Positive,Negative,0.08255339
"Any movie that shows federal PIGs (Persons In Government) to be the power-mad threats they are in real life has a lot to recommend it to me.<br /><br />Alas, the script supervision and editing and even, at times, the directing are flawed so there will be people who will disparage the whole movie and ignore the good moments.<br /><br />I saw the original way back when it was new and hated it, despised it, loathed it. Thought it was a terrible, irrational piece of junk.<br /><br />Now, though, I don't remember why.<br /><br />I believe the two should not be compared or even connected.<br /><br />Consider them as two different movies.<br /><br />Rate them as two different movies.<br /><br />This ""Vanishing Point"" provides a rallying place, a banner for people who want to encourage individualism, who believe in human rights, who recognize the threat to freedom government can be and is, especially the federal government.<br /><br />""The Voice"" wears a cap bearing the state motto of New Hampshire: ""Live Free or Die."" At one time it would have been the motto of most Americans.<br /><br />Despite its obvious flaws, ""Vanishing Point"" is a film to cheer.",Positive,Negative,0.018813407
"A long time ago, I watched this movie from the middle on cable. I then had a crush on Mary Moronov. I saw her again in Eating Raoul. I was convinced that she's the hottest woman on screen.<br /><br />I maybe biased about this movie. 9 out of 10.<br /><br />This's the only movie I own on original tape.",Positive,Negative,0.18748902
"This movie tackles child abduction from the point of view of a Mom (lisa Hartman Black) who acts like a man would in an action thriller. Unlike other movies where the focus is on the Police, here the Mom is tracking down her ex-husband who kidnapped their son. She gets help from her lawyer who eventually falls in love with her.<br /><br />Before finally catching up with her son, a lot of bizarre things happen. The Mom tries to take a child that looks like her son from a local Children's Play at a community theater. She gets caught, and then realizes it is not her child. That alone would have gotten most people put into the Mental Ward or a few months in jail waiting for trial. However, in this movie the Mom is release after a couple of hours because the victim's parents feel sorry for her. A little while later Mom breaks into her mother-in-law's house and then the Police arrive and they have their guns aimed at her but they let her run away because they recognize her (and feel sorry for her?).<br /><br />At another point in the story they have found the child, but when the Police arrive to search the house it turns out they left out the back door and got into the river on a dinghy that apparently the Dad kept around just for such an emergency escape! The Mom gets someone to lend her a raft, and even though it must have taken some time (in a real world), she and the lawyer-boyfriend, and the Police catch up to the other raft pretty fast and it is upside down in the water by landfall. Instead of getting out of the raft to search for the Dad on the land, Mom presumes he drowned the boy and she jumps into the water when she sees his life-jacket. Of course, she cannot swim and sinks like a rock. The lawyer saves her, but they miss a chance to run after the Dad. At one point the Mom is told her son died at a Clinic in Mexico. On and on it goes, and where it stops nobody knows! In some ways, this movie really exploits child abduction and it is not very positive. On the other hand, seeing a woman do all the crazy things that men do in these kind of movies was fun (or funny?).",Negative,Positive,0.685819
"As with all environmentally aware films from the 1970s SOYLENT GREEN has a rather cheesy view of what ecological meltdown is . Overpopulation means there`s too many people to feed ? I was under the impression that famines were caused by either war or failed economic policies . Stalin`s policy in the Soviet Union in the 1930s left millions dead because of famine and to this day the greatest man made tragedy was Mao`s rural policy in China which led over 30 million starvation deaths in the 1950s . And let`s not forget the great famines in the horn of Africa in the 1980s and 90s which were to do with conflicts not overpopulation . You might like to also consider that two of the most heavily populated areas on Earth , Hong Kong and Macau , have never suffered a famine in modern times . Likewise the expansion of shanty towns around cities as seen here isn`t strictly down to overpopulation - it`s down to economic factors where people flock to cities to find better paid work than in the countryside ( It`s a symptom of industrial progress - not of too many births ) so the image of the streets of New York city being too congested to walk through and of having people sleep in stairwells is somewhat laughable<br /><br />But don`t be fooled into thinking SOYLENT GREEN is a pile of corny tree hugging crap because I consider this to be the best ecological film of the<br /><br />70s . It plays on the contempary audience`s knowledge of the world where Sol and Thorn are beside themselves with joy at finding fruit , brandy and fresh meat . Thorn gasps in amazement at having ice in his whisky , puffs on a cigarette and delivers the classic line "" If I could afford it I`d smoke two , maybe three of these a day "" . But it`s the visage of the euthanasia chamber that`s memorable as Thorn gazes at the images of wild animals , flowers , running water and snow covered mountains , a world Thorn`s generation has never known . This is a very haunting scene which makes SOYLENT GREEN a very memorable film , combined with the fact it features the final screen appearance of Edward G Robinson as the wise old Jew Sol Roth",Positive,Negative,0.342799
"Kirk and crew land on a lonely planet where the sun is about to explode. They intend to evacuate the inhabitants but find the place deserted except for a Mr. Atoz who operates some sort of high-tech library. Despite trying to get a straight answer from him about everyone's whereabouts, Atoz is indifferent to their questions and insist they must quickly 'make a selection while there is still time'. They have no idea what he's talking about but wander about looking at the hand mirror-like disks on the viewers and they see images of the planet's past. Then, while a disk is in the viewer, Kirk runs through the doorway and is magically transported back in time to what on Earth would look like the time of Louis XIV (the 1660s). When McCoy and Spock follow, a different disk is in the viewer and they are sent to an ice age hell. All too late they realize that the library is a time travel machine and repository.<br /><br />While Kirk's visit is pretty short and not all that exciting, Spock and McCoy's is much more eventful, as Spock falls head over heels for Mariette Hartley--who was sent to this awful place as a punishment. The scenes with Spock are exceptionally interesting and very atypical of the normally logical guy.<br /><br />Spock's departure from the norm, the wildly inventive script and very diverse locales make this an exceptional episode--one well worth seeing.<br /><br />FYI--Ian Wolfe, the excellent character actor, played Mr. Atoz. I am a huge fan of older films and have seen him as a supporting and bit player in countless films in the 30s and 40s and he looked almost exactly like he did in this episode from 1969. Interestingly enough, despite looking ancient, he lived on another 23 years--dying at over 95 years of age!!",Positive,Negative,0.31211776
"A movie/documentary about different people in Austria on the hottest weekend of the year. It follows what they are doing and maybe more what they are not doing. The tempo is very quiet......so you have to relax.......breathe in...breathe out before you see it......<br /><br />First you think....but nothing is happening and you get a little angry over that..and thats the problem, because its the mood of the film and the really nice social realistic pictures which are nice in this film...........a lot of people will say its disgusting......but its not that bad...i think its more used for the marketing....and theres some really funny moments...a 60 old woman stripping.....i guarantee its the most unsexy striptease in film history......its movie which is real..i think thats the word......right up in your face.......and that makes it a bit scary.no computer manipulation here.....its real life...and as we all know movies can win over reality when it comes to doing sick things..........so its much worse in the real world.......<br /><br />If you survive the movie you can start to look at your neighbors and think...maybe they are like the persons in the movie...i bet theres a lot of them out there......sick...crazy people living with a nice facade........after seing the movie i feel its more interesting to look at my neighbors........<br /><br />But maybe you shouldnt see this movie on your first date.........",Positive,Negative,0.48874116
"First, this was a BRAVE film. I've seen Irreversible and can understand the comparisons. However, I cannot begin to understand the people who've trashed this film. I can see how the end may have come off extreme but I'd be lying if I didn't say I wished that every guy who's ever forced a woman into sex deserved exactly what Jared got. Conversely, it didn't solve anything or make anything better and the fact that the film doesn't pretend to is what made me appreciate it.<br /><br />The comment prior to this one called the film pathetic and claimed no adult would stick with. I certainly did and intently. I'm 24 years old. The way the film drags made it realistic to me. People have become so used to eye candy and fast paced plots on screen that if you ask them to concentrate too long on one brick in the foundation of a film, not only do they lose interest, they demolish whatever has been built, and call it rubbish. When in actuality it's their lack of patience and comprehension that needs fine tuning and not the product of a creative mind such as Talia Lugacy's.<br /><br />Rosario Dawson displayed the numbness of self-destruction flawlessly. I think she portrayed Maya pre and post assault with great ease and the transition between the two is an act I rarely ever see done well. Often times, much like the films ""aimed at teens"" mentioned in the prior comment, the effects of rape are displayed as either extremely manic and impulsive or terribly depressed, isolated and lifeless. Dawson, in my opinion, manages to perform the balancing act so many survivors fall prey to: drone-like existence in the waking hours, working some dead end job to survive (and distract) and then overindulging in vices in order to lose themselves in the haze of substance abuse rather than face what sobriety brings.<br /><br />I thought this film told the truth and I appreciated it for finally showing people a different side of rape. So many people let the end of this film devour the middle and the beginning...I believe that Maya's face during the act was the end...not the act itself...not the vengeance or the meaning behind it...just her face...<br /><br />thank you",Positive,Negative,0.022705076
"I'm studying Catalan, and was delighted to find El Mar, a movie with mostly Catalan dialogue, at my art-house video store.<br /><br />Hmmm... not so delighted to have seen it.<br /><br />Yes, as other reviewers have said, it's well-made, and beautifully photographed. Although the opening sequence of the children is shockingly violent, it's well-acted and convincing. (For the most part, that is... Would the Mallorquins strip a corpse in preparation for burial right in the middle of the town square, in full view of the dead man's 10-year-old boy?) Oh, well... minor detail. Up to this point, it had something of the feel of a non-magical Pan's Labyrinth, also set in the Spanish Civil War.<br /><br />Fast-forward, and the three children who survived the opening incident have come of age. Francisca is a nun working at a tuberculosis sanatorium and the two boys, Manuel and Ramallo, both are patients. I know, but hey, coincidences happen.<br /><br />The problem, as with so many Spanish movies (apologies to Almodovar fans), is that with one exception (Francisca) the characters are just so dang *weird*. Their motivations, personalities, and dialogue are often simply incoherent.<br /><br />What's more, it descends into some horrific wretched excess. Be prepared for LOTS of pain and LOTS of blood. The reviewer who called it a ""potboiler"" is quite on track. If it had been made 40 years ago, the poster would've said: SEE FORBIDDEN LOVE!! RAPE!! MURDER!! MUTILATION!! FANATICISM!! ANIMAL CRUELTY!! BETRAYAL!! <br /><br />The opening sequence is not nearly enough to make the personalities and relationships of the characters believable. To work, this should have had multiple flashbacks to flesh out the characters. As it is, it seems a bizarre and depressing cross between ""Brother Sun, Sister Moon"" and ""Pulp Fiction."" If that sounds like something you've got to see, by all means, enjoy. I think I go with something that doesn't make me feel I need to take a shower to wash off the gore and gloom.<br /><br />As for the Catalan, it's the Mallorqui dialect, fairly different than the Barcelona dialect, though I was surprised by the comment that said that even Barcelonans apparently needed Catalan subtitles to understand it.",Negative,Positive,0.9831693
"Made one year before ILSA, SHE-WOLF OF THE SS, BLACKSNAKE could have easily been called SUSAN, SHE-WOLF OF THE PLANTATION and it probably inspired the producers behind the Nazi sexploitation epics to go ahead with their more infamous films because the stories are identical: a gorgeous, horny, head strong (but stupid) blonde woman degrades and kills many people under her control, whom all hate her and want her dead. Sounds familiar? Director Russ Meyer and David Friedman, the producer behind the ILSA flicks, are good friends and they started their careers together. So, obviously, there's a connection there. Looking at BLACKSNAKE, I can't help but think that Russ Meyer wanted to move on and do something else than his typical busty women epics because XXX movies were all the rage during the mid 1970s, and Russ Meyer films, though filled with nudity and kinkiness and violence, were never even close to real porn. His films started to look positively quaint next to DEEP THROAT and other hard-core porno blockbusters. Meyer knew he couldn't compete with such films and BLACKSNAKE is sorta the end result of such a quandary in his career. He obviously wanted to branch out into different uncharted territory. But BLACKSNAKE bombed at the B.O. and Meyer quickly returned to making VIXEN type of films that, even if they still weren't pornographic, they were most definitely more over-the-top than any of his previous films.<br /><br />It's no wonder BLACKSNAKE was a B.O. failure. It's just terrible. Trash-o-rama. Jaw-droppingly bad. It's a quasi-campy take on slavery, if you can imagine that. The end result is jarring. One minute, we're in typical Meyer territory: exuberant, playful and silly, and then the next minute, super serious meditation on slavery and violence. Huh? It just doesn't work. The slavery/racism aspect is woefully mishandled and veers this movie in the true exploitation category. But BLACKSNAKE is not as sleazy as ILSA SHE WOLF OF THE SS and those kind of films, so I imagine fans of the latter were disappointed by it, which would explain the almost lack of interest in this movie from either exploitation fans or Russ Meyer fans. Meyer blames the failure of BLACKSNAKE because, and I quote, ""It didn't have enough breasts in it."" Well, I'm sorry Russ, but the film is just bad, breast or no breasts. But he's right though about the low breast quota. Except for Anouska and the maid, the film's cast is male. Meyer replaces his usual bevy of buxom babes with throng of hunks with massive pecs, in the form of anonymous black actors playing the slaves and the big David (Darth Vader) Prowse. And with Anouska's right hand man around, who is portrayed as a ruthless but clever gay man who enjoys the power he has over the men, one can only wonder what Meyer was really trying to create here.<br /><br />BLACKSNAKE stars David Warbeck, who is lusted after by Anouska and her right hand man. Poor David. He looks totally befuddled by the whole experience. He did seem to have fun making the movie but you can clearly see that, at times, he has no idea what's going on. And then there's Anouska Hempel. She's a beautiful woman...for the 1970s, not the 1870s. With her makeup and hair, she looks like a typical 1970s Brit pin-up babe than a turn of the century dominatrix. And her wardrobe is hilarious. At one time, she actually unzips her leather boots! I didn't know they had zippers in those days. But the character she plays is, in itself, really degrading (no pun intended). She's nothing but a cipher to the object of lust and scorn of every men (and that woman) on the island. For example, one night, when David and Anouska are getting it on, her annoying slave driver walks in the room, knocks David unconscious and tries to rape her, groping her savagely. The next day, the slave driver is still working for Anouska and the two act as if nothing had happened. It's totally ludicrous. Under any circumstance, had her character been a real person, Anouska would have whipped the slave driver senseless and kicked his butt off the island. Or even killed him. But the fact that the woman keeps him on her plantation after he tried to rape her is stretching the flimsy story and characters' credulity to the max.<br /><br />Ridiculous details like this, and the thoroughly startling blaxploitation angle makes BLACKSNAKE a strangely unpleasant but watchable movie. Watchable in the train wreck variety. I just couldn't help but watch the film for the utter baseless aspects of it all (the excellent cinematography sorta makes it easier to watch). So, this being an exploitation film, I guess it succeeded in doing what it was supposed to do. But BLACKSNAKE is mainly for Russ Meyer completists.",Negative,Positive,0.77847946
