text,actual_sentiment,predicted_sentiment
"Yowsa! If you REALLY want some ACTION, check out the babes and bombs on this non-stop thriller! Veteran star MARTIN SHEEN leads a trio of supermodels on a mission to stop nuclear terrorism... but director Dean Hamilton doesn't let this heavy plotline get in the way of massive doses of TEENSY-SWIMSUIT scenes, jiggly beach jogs, hubba-hubba hot tubs and the like! Want action? You'll get more of it here than in PEARL HARBOR. Want babes? You'll get an eyeful every two minutes. Want more? Go out and BUY THIS VIDEO! Yowsa, Yowsa, Yowsa! That's some mighty spicy meatballs!!!",Positive,Negative
"I rated this a ten just because I find it so impressive what a single eighteen year old can do with a video camera. It's no epic but it's plenty engaging and I was never bored. If tens of millions of dollars can go into the countless bad films that are poured out en masse, then give this director the same amount of money and see what happens. I know I'll be lining up at the local cinema for her first major release. Damn good job, and well worth the money. What a script! It might be low budget but it beats the hell out of half the major pictures I've seen lately. Nanavati knows how to tell a story, both in writing and on screen. Serious kudos to her, can't wait to see more.",Positive,Negative
"Chris, an adopted son of a moral family, a loser whom works at the school newspaper with Kate (Christine Lakin from of the awful sugary ""Step by Step"" show of the now thankfully defunct ABC's TGIF line-up), finds out that he's just inherited a porn empire from his biological parents. He loses sight of what true friendship and love is and blah blah some other nonsense. He also has to contend with an Uncle who wants control of the family business and a shifty lawyer (arn't they are?) A slightly below average teen comedy that steals from better teen comedies (the opening alone is HIGHLY American Pie-esquire), bops you on the head with the moral every chance it gets, and wastes the only star talent it has (Wayne Newton, Lin Shaye, and if i'm really stretching the star word, Martin Starr of ""Freaks and Geeks"", and Justin Berfield of ""Malcolm in the Middle""). It's not bad exactly, but it's far from good.<br /><br />Eye Candy: a few extras get topless <br /><br />My Grade: C- <br /><br />Where I saw it: Starz on Demand (available until September 29th)",Negative,Positive
"A long time ago, I watched this movie from the middle on cable. I then had a crush on Mary Moronov. I saw her again in Eating Raoul. I was convinced that she's the hottest woman on screen.<br /><br />I maybe biased about this movie. 9 out of 10.<br /><br />This's the only movie I own on original tape.",Positive,Negative
"This movie tackles child abduction from the point of view of a Mom (lisa Hartman Black) who acts like a man would in an action thriller. Unlike other movies where the focus is on the Police, here the Mom is tracking down her ex-husband who kidnapped their son. She gets help from her lawyer who eventually falls in love with her.<br /><br />Before finally catching up with her son, a lot of bizarre things happen. The Mom tries to take a child that looks like her son from a local Children's Play at a community theater. She gets caught, and then realizes it is not her child. That alone would have gotten most people put into the Mental Ward or a few months in jail waiting for trial. However, in this movie the Mom is release after a couple of hours because the victim's parents feel sorry for her. A little while later Mom breaks into her mother-in-law's house and then the Police arrive and they have their guns aimed at her but they let her run away because they recognize her (and feel sorry for her?).<br /><br />At another point in the story they have found the child, but when the Police arrive to search the house it turns out they left out the back door and got into the river on a dinghy that apparently the Dad kept around just for such an emergency escape! The Mom gets someone to lend her a raft, and even though it must have taken some time (in a real world), she and the lawyer-boyfriend, and the Police catch up to the other raft pretty fast and it is upside down in the water by landfall. Instead of getting out of the raft to search for the Dad on the land, Mom presumes he drowned the boy and she jumps into the water when she sees his life-jacket. Of course, she cannot swim and sinks like a rock. The lawyer saves her, but they miss a chance to run after the Dad. At one point the Mom is told her son died at a Clinic in Mexico. On and on it goes, and where it stops nobody knows! In some ways, this movie really exploits child abduction and it is not very positive. On the other hand, seeing a woman do all the crazy things that men do in these kind of movies was fun (or funny?).",Negative,Positive
"I'm studying Catalan, and was delighted to find El Mar, a movie with mostly Catalan dialogue, at my art-house video store.<br /><br />Hmmm... not so delighted to have seen it.<br /><br />Yes, as other reviewers have said, it's well-made, and beautifully photographed. Although the opening sequence of the children is shockingly violent, it's well-acted and convincing. (For the most part, that is... Would the Mallorquins strip a corpse in preparation for burial right in the middle of the town square, in full view of the dead man's 10-year-old boy?) Oh, well... minor detail. Up to this point, it had something of the feel of a non-magical Pan's Labyrinth, also set in the Spanish Civil War.<br /><br />Fast-forward, and the three children who survived the opening incident have come of age. Francisca is a nun working at a tuberculosis sanatorium and the two boys, Manuel and Ramallo, both are patients. I know, but hey, coincidences happen.<br /><br />The problem, as with so many Spanish movies (apologies to Almodovar fans), is that with one exception (Francisca) the characters are just so dang *weird*. Their motivations, personalities, and dialogue are often simply incoherent.<br /><br />What's more, it descends into some horrific wretched excess. Be prepared for LOTS of pain and LOTS of blood. The reviewer who called it a ""potboiler"" is quite on track. If it had been made 40 years ago, the poster would've said: SEE FORBIDDEN LOVE!! RAPE!! MURDER!! MUTILATION!! FANATICISM!! ANIMAL CRUELTY!! BETRAYAL!! <br /><br />The opening sequence is not nearly enough to make the personalities and relationships of the characters believable. To work, this should have had multiple flashbacks to flesh out the characters. As it is, it seems a bizarre and depressing cross between ""Brother Sun, Sister Moon"" and ""Pulp Fiction."" If that sounds like something you've got to see, by all means, enjoy. I think I go with something that doesn't make me feel I need to take a shower to wash off the gore and gloom.<br /><br />As for the Catalan, it's the Mallorqui dialect, fairly different than the Barcelona dialect, though I was surprised by the comment that said that even Barcelonans apparently needed Catalan subtitles to understand it.",Negative,Positive
"I saw this film over the weekend and while I was impressed as always with the beauty and polish of Church-produced films, I left disappointed that this one fell so short, failing to inform members and leaving investigators with many unanswered questions.<br /><br />The film is 70 minutes of vignettes from the life of Joseph Smith. It's not a true biopic because there's no real coherent narrative. Most of the episodes concern Joseph doing good deeds, playing baseball, running races and laughing with children, often in sloooow motion. What a great, just folks kind of guy that Joseph was, huh? Look at him out there beating rugs for his wife Emma. Well, howzbout the rugs of his 33 plural wives?? No mention whatsoever is made of polygamy. A glaring omission.<br /><br />And it is in such omissions where the film falters. It supplies too little information and leaves critical thinking audience members wondering WHY is Joseph getting tarred and feathered, WHY is he getting thrown in jail and WHY does that mob want to kill him? The film's climax is of course Joseph and Hyrum's trek to Carthage jail (riding past a veritable United Nations of faces looking out from Nauvoo's doorways). But no mention is ever made about WHY. Nothing about Smith suppressing the Nauvoo Expositor newspaper and ordering its press destroyed for its revealing the secret teaching of polygamy. The audience is left to wonder or to assume it's just more baseless persecution of the Church. No mention of Joseph being charged with treason for declaring martial law and calling out the Nauvoo militia.<br /><br />Of course I certainly did not expect this Church-produced film to present the Joseph of Richard Bushman's recent biography Rough Stone Rolling, but I was surprised and taken aback at just how little of substance was actually presented.<br /><br />And worse, what substance that was presented was often inaccurate. Two examples jumped out at me. First, the translation of the Book of Mormon. The film shows Joseph reading right off the golden plates in their two-ring binder, which plates in reality were hidden far from the site. It's well known that Joseph did his translating by burying his face in his hat, peering at the seer stone in there. The second inaccuracy occurs at Carthage jail, where the mob storms the cell. The History of the Church reports that Joseph had a six-shooter and even fired off a few rounds before jumping out the window and giving the Masonic signal of distress (as reported in Times & Seasons).<br /><br />Maybe showing the reality of the gunfight would have shattered the heart-tugging mood the filmmakers had created, but by omitting it they were unfaithful to history and failed to show Joseph as he really was: handy with a gun and able to defend himself. In fact, the impression the film gives is that Joseph was a nice guy, but also something of a milquetoast that everybody beat up, tossed in jail and eventually murdered in cold blood. He was far from that; Joseph was a disciplined and determined man who endured a lot of hardship and struggle to bring to fruition that in which he believed.<br /><br />See the film, but know going in that's it's cotton candy. Then get your meat and potatoes by reading a copy of Bushman's biography of Smith, Rough Stone Rolling <br /><br />PS: Church-produced films have no credits, but seasoned eyes can pick out a couple familiar faces. Rick Macy is excellent as Joseph Smith, Sr. and Bruce Newbold, beloved as Thomas in Finding Faith in Christ, here plays the cranky Methodist minister who failed to show Christian love to a young seeker after Truth.",Negative,Positive
"I waited a while to post a review of this documentary because when I first saw it over 10 years ago, I wanted to think carefully about what I wanted to write. <br /><br />I found from a documentary standpoint that this is a darned good documentary. It did what it set out to do, show me something I had no idea about and kept me interested in this world it explored. I knew nothing of the Drag world and finding out about them and the ""Balls"" was just spectacular to me. These folks were just so talented with what they do and how they do it, for competition. The catty folks, the complainers (even I was angry when someone told the judge that the coat the Drag Queen was wearing wasn't a man's coat!), the jealous, it's all there like in every other competition. LIKE EVERY OTHER COMPETITION like it. Which I felt was a point.<br /><br />You had the older drag queen talking about how the Balls ""used"" to be compared to the newer drag queens who have changed the Balls and made more competition categories -- and even those who looked on knowing that the future of Balls would change even more when they were ready to walk the runway. It was interesting to hear that some of the contestants were living out on the street two minutes before the ball but came to compete, it was that important to them! Then there was sad stories, stories of who's ""house"" and ""house mother"" brought out the best and the brightest in competition. It was interesting.<br /><br />Now to add after 10 years of seeing this film, I lived through the so called 'Madonna' craze. I spotted a few familiar faces from this documentary who ended up with Madonna during her ""Vogue"" phase and rightfully so. If not for those individuals, Madonna wouldn't have HAD a ""Vogue"" phase, I know that now. Credit should be given where credit is DUE. Makes me wonder, if anyone else from mainstream America would watch this documentary, they'll learn they're not as ""mainstream"" as they think.",Positive,Negative
"I agree with all the accolades, I went through a box of tissues watching this film. It had a gritty authenticity and rang true in every way.<br /><br />The question I'm about to raise represents a current sensibility regarding the treatment of animals. I had a very difficult time with the beginning slaughter of sheep and goats, and the dying deer with its pulsing neck and pooling blood as its life drained away was hideous.<br /><br />This is the age of ""no animals were hurt in the production of this move."" Iphigenia was made in the late 70's before the advent of computer simulation. Was it possible to fake these animal deaths? Or were these animals slaughtered for art?",Positive,Negative
"Any story comprises a premise, characters and conflict. Characters plotting their own play promises triumph, and a militant character readily lends oneself to this. Ardh Satya's premise is summarized by the poem of the same name scripted by Dilip Chitre. The line goes - ""ek palde mein napunsaktha, doosre palde mein paurush, aur teek tarazu ke kaante par, ardh satya ?"". A rough translation - ""The delicate balance of right & wrong ( commonly seen on the busts of blind justice in the courts ) has powerlessness on one plate and prowess on another. Is the needle on the center a half-truth ? ""<br /><br />The poem is recited midway in the film by Smita Patil to Om Puri at a resturant. It makes a deep impact on the protagonist & lays the foundation for much of the later events that follow. At the end of the film, Om Puri ends up in exactly the same situation described so aptly in the poem.<br /><br />The film tries mighty hard to do a one-up on the poem. However, Chitre's words are too powerful, and at best, the film matches up to the poem in every aspect.<br /><br />",Positive,Negative
